feature,gain_importance
ortalama_sure_diff1,299.0190124511719
ortalama_sure_lag1,203.5171356201172
oturum_sayisi_diff7,163.85101318359375
oturum_sayisi_diff1,155.52914428710938
ortalama_sure_roll7_mean,105.99436950683594
ortalama_sure_diff7,104.03608703613281
toplam_izleme_suresi_dk_roll14_std,81.15618896484375
ortalama_sure_roll14_mean,76.03422546386719
month_sin,42.6783447265625
toplam_izleme_suresi_dk_lag1,37.759124755859375
ortalama_sure_roll28_mean,29.31536865234375
ortalama_sure_lag7,26.881113052368164
toplam_izleme_suresi_dk_roll14_mean,23.911653518676758
toplam_izleme_suresi_dk_roll7_mean,17.30834197998047
oturum_sayisi_lag28,16.376670837402344
outlier_sure_iqr,10.703166007995605
toplam_izleme_suresi_dk_diff1,7.067182540893555
outlier_sure_z,6.604596138000488
oturum_sayisi_roll7_mean,6.53494930267334
ortalama_sure_lag2,5.807371139526367
toplam_izleme_suresi_dk_lag2,5.338037967681885
oturum_sayisi_roll14_std,4.632497787475586
toplam_izleme_suresi_dk_lag7,4.557006359100342
toplam_izleme_suresi_dk_roll28_std,4.389016628265381
yil,3.7865500450134277
ortalama_sure_roll14_std,3.7447409629821777
toplam_izleme_suresi_dk_lag14,3.4285285472869873
toplam_izleme_suresi_dk_lag28,3.427370071411133
oturum_sayisi_lag1,3.394651174545288
hafta_gunu,2.984731435775757
oturum_sayisi_lag2,2.901232957839966
ortalama_sure_roll7_std,2.8335235118865967
oturum_sayisi_roll7_std,2.7360846996307373
oturum_sayisi_roll28_std,2.6759557723999023
month_cos,2.656904458999634
oturum_sayisi_lag7,2.650987386703491
ortalama_sure_lag14,2.5731465816497803
oturum_sayisi_lag14,2.3979086875915527
outlier_oturum_iqr,2.396989583969116
ay_baslangic,2.2204318046569824
ortalama_sure_lag28,2.095409631729126
oturum_sayisi_roll14_mean,2.0657308101654053
oturum_sayisi_roll28_mean,2.0570056438446045
dow_sin,1.446582555770874
ay,1.2650911808013916
dow_cos,0.8341545462608337
toplam_izleme_suresi_dk_roll7_std,0.6848523616790771
toplam_izleme_suresi_dk_roll28_mean,0.6094852089881897
toplam_izleme_suresi_dk_diff7,0.5028338432312012
ortalama_sure_roll28_std,0.49350863695144653
is_holiday,0.37342315912246704
ay_sonu,0.19259242713451385
outlier_oturum_z,0.001226929947733879
