event_date,oturum_sayisi,toplam_izleme_suresi_dk,ortalama_sure,yil,ay,hafta_gunu,gun_adi,ay_baslangic,ay_sonu,outlier_oturum_iqr,outlier_sure_iqr,outlier_oturum_z,outlier_sure_z,dow_sin,dow_cos,month_sin,month_cos,oturum_sayisi_lag1,oturum_sayisi_lag2,oturum_sayisi_lag7,oturum_sayisi_lag14,oturum_sayisi_lag28,toplam_izleme_suresi_dk_lag1,toplam_izleme_suresi_dk_lag2,toplam_izleme_suresi_dk_lag7,toplam_izleme_suresi_dk_lag14,toplam_izleme_suresi_dk_lag28,ortalama_sure_lag1,ortalama_sure_lag2,ortalama_sure_lag7,ortalama_sure_lag14,ortalama_sure_lag28,oturum_sayisi_roll7_mean,oturum_sayisi_roll7_std,oturum_sayisi_roll14_mean,oturum_sayisi_roll14_std,oturum_sayisi_roll28_mean,oturum_sayisi_roll28_std,toplam_izleme_suresi_dk_roll7_mean,toplam_izleme_suresi_dk_roll7_std,toplam_izleme_suresi_dk_roll14_mean,toplam_izleme_suresi_dk_roll14_std,toplam_izleme_suresi_dk_roll28_mean,toplam_izleme_suresi_dk_roll28_std,ortalama_sure_roll7_mean,ortalama_sure_roll7_std,ortalama_sure_roll14_mean,ortalama_sure_roll14_std,ortalama_sure_roll28_mean,ortalama_sure_roll28_std,oturum_sayisi_diff1,oturum_sayisi_diff7,toplam_izleme_suresi_dk_diff1,toplam_izleme_suresi_dk_diff7,ortalama_sure_diff1,ortalama_sure_diff7,is_weekend,is_holiday,kullanici_sayisi,month,dow
2024-08-02,1262029.0,19221847.233333275,15.23090771553845,2024.0,8.0,4.0,Friday,0.0,0.0,0.0,0.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,
2024-08-03,1544194.0,19096046.48333333,12.366351950165155,2024.0,8.0,5.0,Saturday,0.0,0.0,0.0,0.0,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,1262029.0,,,,,19221847.233333275,,,,,15.23090771553845,,,,,,,,,,,,,,,,,,,,,,,282165.0,,-125800.74999994412,,-2.8645557653732947,,1.0,0.0,,,
2024-08-04,1656177.0,25068029.14999989,15.13608095632284,2024.0,8.0,6.0,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,1544194.0,1262029.0,,,,19096046.48333333,19221847.233333275,,,,12.366351950165155,15.23090771553845,,,,,,,,,,,,,,,,,,,,,,111983.0,,5971982.66666656,,2.769729006157684,,1.0,0.0,,,
2024-08-05,1034387.0,20146461.199999973,19.476715387954386,2024.0,8.0,0.0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,1656177.0,1544194.0,,,,25068029.14999989,19096046.48333333,,,,15.13608095632284,12.366351950165155,,,,,,,,,,,,,,,,,,,,,,-621790.0,,-4921567.949999917,,4.340634431631546,,0.0,0.0,,,
2024-08-06,2751232.0,56415498.70000026,20.50554031793766,2024.0,8.0,1.0,Tuesday,0.0,0.0,1.0,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,1034387.0,1656177.0,,,,20146461.199999973,25068029.14999989,,,,19.476715387954386,15.13608095632284,,,,,,,,,,,,,,,,,,,,,,1716845.0,,36269037.50000028,,1.0288249299832728,,0.0,0.0,,,
2024-08-07,993381.0,19277131.98333331,19.405577500811177,2024.0,8.0,2.0,Wednesday,0.0,0.0,0.0,0.0,0.0,0.0,0.9749279121818236,-0.2225209339563143,-0.8660254037844385,-0.5000000000000004,2751232.0,1034387.0,,,,56415498.70000026,20146461.199999973,,,,20.50554031793766,19.476715387954386,,,,,,,,,,,,,,,,,,,,,,-1757851.0,,-37138366.71666695,,-1.0999628171264817,,0.0,0.0,,,
2024-08-08,2881456.0,50183514.133333705,17.41602652732983,2024.0,8.0,3.0,Thursday,0.0,0.0,1.0,0.0,0.0,0.0,0.4338837391175582,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,993381.0,2751232.0,,,,19277131.98333331,56415498.70000026,,,,19.405577500811177,20.50554031793766,,,,,,,,,,,,,,,,,,,,,,1888075.0,,30906382.1500004,,-1.9895509734813464,,0.0,0.0,,,
2024-08-09,946665.0,17376806.01666666,18.355813320093866,2024.0,8.0,4.0,Friday,0.0,0.0,0.0,0.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,2881456.0,993381.0,1262029.0,,,50183514.133333705,19277131.98333331,19221847.233333275,,,17.41602652732983,19.405577500811177,15.23090771553845,,,1731836.5714285714,780405.6280266173,,,,,29915504.126190536,16209894.502421478,,,,,17.0767429080085,2.9556771040948298,,,,,-1934791.0,-315364.0,-32806708.116667047,-1845041.2166666165,0.9397867927640357,3.124905604555416,0.0,0.0,,,
2024-08-10,1597381.0,31047616.599999897,19.43657561971746,2024.0,8.0,5.0,Saturday,0.0,0.0,0.0,0.0,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,946665.0,2881456.0,1544194.0,,,17376806.01666666,50183514.133333705,19096046.48333333,,,18.355813320093866,17.41602652732983,12.366351950165155,,,1686784.5714285714,820138.7208895126,,,,,29651926.80952388,16426312.328113494,,,,,17.52315799437356,2.8650209835762523,,,,,650716.0,53187.0,13670810.58333324,11951570.116666568,1.0807622996235935,7.070223669552304,1.0,0.0,,,
2024-08-11,751682.0,15247456.766666677,20.28445109323713,2024.0,8.0,6.0,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,1597381.0,946665.0,1656177.0,,,31047616.599999897,17376806.01666666,25068029.14999989,,,19.43657561971746,18.355813320093866,15.13608095632284,,,1694382.7142857143,818842.876066936,,,,,31359293.96904767,15753613.566484991,,,,,18.533189947166743,1.7878030293138785,,,,,-845699.0,-904495.0,-15800159.83333322,-9820572.383333214,0.8478754735196716,5.148370136914291,1.0,0.0,,,
2024-08-12,352082.0,10832054.666666647,30.76571556247308,2024.0,8.0,0.0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,751682.0,1597381.0,1034387.0,,,15247456.766666677,31047616.599999897,20146461.199999973,,,20.28445109323713,19.43657561971746,19.476715387954386,,,1565169.142857143,893809.6241123215,,,,,29956355.057142925,16809182.333334584,,,,,19.26867139529736,1.0737375076492113,,,,,-399600.0,-682305.0,-4415402.100000029,-9314406.533333326,10.48126446923595,11.289000174518694,0.0,0.0,,,
