ds,holiday
2024-08-03,weekend
2024-08-04,weekend
2024-08-10,weekend
2024-08-11,weekend
2024-08-17,weekend
2024-08-18,weekend
2024-08-24,weekend
2024-08-25,weekend
2024-08-30,Victory Day
2024-08-31,weekend
2024-09-01,weekend
2024-09-07,weekend
2024-09-08,weekend
2024-09-14,weekend
2024-09-15,weekend
2024-09-21,weekend
2024-09-22,weekend
2024-09-28,weekend
2024-09-29,weekend
2024-10-05,weekend
2024-10-06,weekend
2024-10-12,weekend
2024-10-13,weekend
2024-10-19,weekend
2024-10-20,weekend
2024-10-26,weekend
2024-10-27,weekend
2024-10-29,Republic Day
2024-11-02,weekend
2024-11-03,weekend
2024-11-09,weekend
2024-11-10,weekend
2024-11-16,weekend
2024-11-17,weekend
2024-11-23,weekend
2024-11-24,weekend
2024-11-30,weekend
2024-12-01,weekend
2024-12-07,weekend
2024-12-08,weekend
2024-12-14,weekend
2024-12-15,weekend
2024-12-21,weekend
2024-12-22,weekend
2024-12-28,weekend
2024-12-29,weekend
2025-01-01,New Year's Day
2025-01-04,weekend
2025-01-05,weekend
2025-01-11,weekend
2025-01-12,weekend
2025-01-18,weekend
2025-01-19,weekend
2025-01-25,weekend
2025-01-26,weekend
2025-02-01,weekend
2025-02-02,weekend
2025-02-08,weekend
2025-02-09,weekend
2025-02-15,weekend
2025-02-16,weekend
2025-02-22,weekend
2025-02-23,weekend
2025-03-01,weekend
2025-03-02,weekend
2025-03-08,weekend
2025-03-09,weekend
2025-03-15,weekend
2025-03-16,weekend
2025-03-22,weekend
2025-03-23,weekend
2025-03-29,weekend
2025-03-30,Eid al-Fitr
2025-03-30,weekend
2025-03-31,Eid al-Fitr
2025-04-01,Eid al-Fitr
2025-04-05,weekend
2025-04-06,weekend
2025-04-12,weekend
2025-04-13,weekend
2025-04-19,weekend
2025-04-20,weekend
2025-04-23,National Sovereignty and Children's Day
2025-04-26,weekend
2025-04-27,weekend
2025-05-01,Labour and Solidarity Day
2025-05-03,weekend
2025-05-04,weekend
2025-05-10,weekend
2025-05-11,weekend
2025-05-17,weekend
2025-05-18,weekend
2025-05-19,"Commemoration of Atatürk, Youth and Sports Day"
2025-05-24,weekend
2025-05-25,weekend
2025-05-31,weekend
2025-06-01,weekend
2025-06-06,Eid al-Adha
2025-06-07,Eid al-Adha
2025-06-07,weekend
2025-06-08,Eid al-Adha
2025-06-08,weekend
2025-06-09,Eid al-Adha
2025-06-14,weekend
2025-06-15,weekend
2025-06-21,weekend
2025-06-22,weekend
2025-06-28,weekend
2025-06-29,weekend
2025-07-05,weekend
2025-07-06,weekend
2025-07-12,weekend
2025-07-13,weekend
2025-07-15,Democracy and National Unity Day
2025-07-19,weekend
2025-07-20,weekend
2025-07-26,weekend
2025-07-27,weekend
2025-08-02,weekend
2025-08-03,weekend
2025-08-09,weekend
2025-08-10,weekend
2025-08-16,weekend
2025-08-17,weekend
